Myofibroblasts,WNT2B+Fos-hi,WNT2B+Fos-lo1,WNT2B+Fos-lo2,RSPO3+,WNT5B+1,WNT5B+2,Inflammatory_Fibroblasts,Endothelial,Microvascular,Post-capillary_Venules,Pericytes
ACTA2,IGFBP7,APOE,APOE,LUM,CXCL14,NPY,IGFBP7,PLVAP,PLVAP,DARC,RGS5
ACTG2,ADAMDEC1,DCN,CFD,DCN,MATN3,CXCL14,LUM,CLDN5,IGFBP7,CLDN5,COX4I2
CNN1,CFD,IGFBP7,IGFBP7,IGFBP7,HAS1,VSTM2A,C1S,SEMA3G,GNG11,ZNF385D,HIGD1B
MYH11,APOE,ADAMDEC1,DCN,OGN,POSTN,ENHO,CHI3L1,RBP7,RAMP3,SELP,IGFBP7
TAGLN,DCN,CFD,ADAMDEC1,GREM2,VSTM2A,F3,LGALS1,MMRN2,VWF,MADCAM1,NOTCH3
HSD17B6,LUM,LUM,IFITM3,CFD,FRZB,CBLN2,NNMT,GPIHBP1,IFITM3,LINC01013,KCNJ8
PLN,CCL2,IFITM3,FBLN1,RSPO3,IGFBP7,NSG1,COL3A1,GJA4,EXOC3L2,IL33,CSRP2
SYT10,MFAP4,C1S,CCL11,FBLN1,NSG1,TNC,IFITM3,TMEM88,RAMP2,GALNT15,BGN
SOSTDC1,C1S,MFAP4,LUM,C7,PLAT,FRZB,RARRES2,FCN3,GSN,RAB3C,FAM162B
TPM2,C1R,FBLN1,CCL13,CHODL,DMKN,PLAT,DCN,SOX17,CRIP2,APLNR,ITGA7
MYL9,FBLN1,C1R,MFAP4,COL1A2,FGF9,REEP2,COL1A2,RAMP2,ESAM,FAM155A,EDNRA
MFAP5,CXCL14,LGALS1,LGALS1,C1S,ENHO,LGALS1,MMP2,GNG11,CD36,TLL1,FOXS1
HHIP,COL1A2,VIM,CCL8,PRELP,F3,DMKN,SPARC,COX4I2,ECSCR,VWF,MYL9
DES,VIM,COL1A2,SOD3,ASPN,LGALS1,AGT,C1R,RP11-251M1.1,FABP5,PLA1A,NDUFA4L2
DIO2,CCL8,CXCL14,C1S,RGMA,CBLN2,BMP4,COL1A1,RAMP3,SLC14A1,RAMP3,GJA4
CES1,LGALS1,COL3A1,CXCL14,C1R,GLP2R,COL6A2,LY6E,EGFL7,SPARCL1,ECSCR,NR2F2-AS1
LMOD1,IFITM3,TCF21,C1R,CCDC80,RP11-449D8.1,NRG1,MMP3,AIF1L,TM4SF18,SELE,HEYL
PDLIM3,COL3A1,TMEM176B,TMEM176B,C3,PODN,MMP11,COL6A2,ESAM,RP11-536O18.2,CYP1B1,RBPMS2
KCNMB1,TCF21,CTSC,TCF21,EFEMP1,COL4A6,POSTN,FBLN1,C1QTNF9,TMEM88,VEGFC,MCAM
NPNT,A2M,A2M,COL3A1,CCL11,C1QTNF7,TRPA1,SERPING1,INHBB,EGFL7,JAM2,RERG
RBPMS2,HAPLN1,CCL8,COL1A2,MFAP4,CHST1,PTX3,MFAP4,STC1,ELTD1,RASSF9,STEAP4
RERG,CTSC,CYGB,COL6A5,CFH,CAV1,RP4-755D9.1,COL6A1,CYYR1,SPARC,CPE,HEY2
AOC3,SOD3,PROCR,PTGDS,SERPINF1,PDGFD,DHRS7C,TSPAN4,JAM2,SDPR,ERG,EBF1
IGFBP7,TMEM176B,GPX3,A2M,GUCY1A3,REEP2,RP11-1002K11.1,PLAT,ECSCR,RBP5,IGFBP7,KCNE4
AC131025.8,GPX3,ABCA8,RARRES2,MGP,EDNRB,MMP2,TMEM176B,SLC14A1,FLT1,AC011526.1,EGFLAM
FAT4,CXCL12,CALD1,COL6A2,SOD3,MMP2,HS3ST3A1,TNC,CD320,KDR,EGFL7,PDGFRB
FBXL7,GSN,ITGB3,GSN,CXCL12,C10orf107,IGFBP3,HSD11B1,FLT1,FAM110D,PLVAP,CCDC3
MYLK,ABCA8,SOD3,ABCA8,CXCL6,HHIP-AS1,RXRG,MFGE8,CRIP2,VWA1,MEOX2,CD36
HHIP-AS1,RBP1,CCL2,FABP4,PLAC9,COL6A1,FST,PROCR,CLEC14A,CLEC14A,CLU,GUCY1B3
LGALS1,CYGB,CTSK,TNXB,ANGPTL1,KRTDAP,IGFBP7,PDPN,TM4SF18,PODXL,GPR126,RASL12
NEXN,STMN2,TIMP1,RBP1,GSN,COL6A2,COL6A1,F3,CD34,CD320,RAMP2,MGP
AF131217.1,PROCR,RBP1,PLAC9,PTGER1,MMP1,SEMA3A,SOD3,VWF,BAALC,BCL6B,TPPP3
PRKCDBP,CCL13,CHL1-AS2,SLIT3,CCL21,BMP4,MMP1,PXDN,HIGD1B,SNCG,KRT222,LGALS1
MIR145,COL1A1,PPP1R3C,RNF112,CCL19,AGT,INSC,PLAU,FABP5,FAM167B,CDH5,GJC1
OSR1,SERPINF1,SLCO1C1,CCL2,ADH1B,IGFBP3,ADAMTS7,CTSK,LCN6,AC011526.1,SNCG,GUCY1A3
PCDH7,CCL11,COL1A1,SGIP1,TCF21,TRPA1,SCUBE1,AGT,ENPP2,HSPA12B,FAM167B,PTGIR
SPESP1,COL6A2,LINC01082,TAC3,IFITM3,CYGB,ANGPT1,RBP1,CD36,EMCN,MEOX1,EFHD1
SYNPO2,SEPP1,COL6A2,COL1A1,SLIT3,TSHZ2,AC003090.1,TIMP1,FAM124B,CXorf36,HHEX,REM1
TGFB1I1,VCAM1,GGT5,LINC01082,MFAP5,PDE1A,MAP1B,TNFAIP6,AC011526.1,KANK3,PALMD,TNS1
LRRC17,PPAP2B,COLEC11,PPAP2B,COL14A1,RP4-755D9.1,RARRES2,CALD1,ELTD1,CA4,LMO2,COL5A3
DCN,LINC01082,SCARA5,CHL1-AS2,SERPING1,SOX6,AC002511.2,MMP1,GPR116,MMRN2,GNG11,FRZB
SGCA,PTN,RARRES2,ABCA6,CTSK,PDGFC,CH25H,DMKN,SOX7,CETP,MYCT1,ARHGEF17
TBXA2R,DKK3,HAPLN1,CYGB,THY1,RGS6,PDGFRA,TPM2,PODXL,MGP,CD34,PLXDC1
CSRP2,CALD1,CCL13,CALD1,PTGDS,AC003090.1,FOXL1,CCL2,CDH5,MYCT1,NRN1,PGF
FHL1,GGT5,GSN,C3,BGN,SDC2,WNT5B,APOE,ZNF541,ROBO4,CXorf36,GEM
NTN1,CTSK,TFPI2,FN1,ADAMDEC1,RBP4,CAV1,VIM,THSD1,ENG,CORT,MAP3K7CL
MYL6,CFH,PPAP2B,SFTA1P,DPT,HS3ST3A1,F2RL2,TMEM176A,MYCT1,KIAA1462,AC116035.1,ARHGAP29
APCDD1,CCL7,PLAC9,GPX3,SFRP1,WNT5B,BMP5,PCOLCE,SNCG,NPR1,TEK,ACTA2
PDLIM7,RARRES2,PTN,TFPI2,FN1,PTGDR2,COL4A5,A2M,FAM167B,CAV1,SOX7,MFGE8
TRPC6,AC061992.2,SPARC,COL14A1,PTGFR,FRY,FENDRR,TDO2,FAM110D,CD34,TSPAN18,SERPINI1
TMEM35,SLCO1C1,AC004538.3,CTSC,GSTM5,TNC,TSLP,CYGB,AVPR2,PRSS23,FOXC1,SOD3
COL1A2,PLAC9,CFH,CD63,TDO2,CALD1,EDNRB,PTX3,THSD7A,ARHGAP29,CLEC14A,ADAMTS1
AHNAK2,PMP22,DKK3,CLEC11A,GPC6,MFAP4,WNT5A,TCF21,EMCN,CLEC1A,CCDC178,BCAM
KCNH2,RP3-323P13.2,RPL12,ELANE,C16orf89,COL4A5,IFITM3,GPX3,EXOC3L2,TEK,KANK3,ANGPT2
CXCL14,EFEMP1,SERPINF1,GGT5,APOE,CPE,GSG1L,NRG1,ALPL,SLC9A3R2,C2CD4B,OLFM2
MRGPRF,NAALAD2,VCAM1,ITIH5,COL3A1,TMEM119,GLP2R,IL1R1,IFITM3,CDH5,FAM124A,ESAM
TGM2,LOXL4,CXCL12,CTSK,IGFBP5,FOS,BMP7,VCAM1,KDR,CYYR1,CALCRL,NFATC4
TM4SF1,SCARA5,RP11-264B14.1,MEG3,RARRES2,C11orf96,CALD1,MYL9,SDPR,PLAT,CYYR1,GPR116
